sofa_id,name,pos,season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
852404,Mattéo Guendouzi,MID,2324,L1,France,0,0,0,0,0,6.6,16.25,7
795222,Frenkie de Jong,MID,2324,LaLiga,Spain,2,0,43,6,0,7.45,16.062,3
190159,André Silva,FWD,2324,LaLiga,Spain,3,0,2,0,0,6.62,16.062,0
822708,Amadou Haidara,MID,2324,Bund,Germany,2,1,42,1,0,7.19,19.357,2
825838,Armando Obispo,DEF,2324,Ered,Netherlands,0,0,3,0,0,6.71,10.0,0
906275,Yann Bisseck,DEF,2324,SerieA,Italy,2,0,14,6,0,7.11,21.0,0
791702,Marcus Thuram,FWD,2324,SerieA,Italy,13,7,23,5,0,7.3,21.0,5
178963,Abdülkerim Bardakcı,DEF,2324,SuperLig,Turkey,4,0,25,12,0,7.23,12.0,6
826139,Reiss Nelson,MID,2324,PL,England,0,0,9,0,0,6.66,17.375,8
892141,Santiago Giménez,FWD,2324,Ered,Netherlands,23,6,8,5,0,7.33,10.0,11
787941,Frank Anguissa,MID,2324,SerieA,Italy,0,2,61,6,0,6.99,21.0,12
822471,Victor Osimhen,FWD,2324,SerieA,Italy,15,3,9,1,0,7.25,21.0,8
856739,Lutsharel Geertruida,DEF,2324,Ered,Netherlands,8,5,49,15,0,7.41,10.0,8
805078,Mathías Olivera,DEF,2324,SerieA,Italy,1,1,50,4,0,7.09,21.0,4
997035,Alejandro Balde,DEF,2324,LaLiga,Spain,0,1,20,3,0,6.84,16.062,10
940054,Karim Adeyemi,FWD,2324,Bund,Germany,3,1,16,0,0,6.69,19.357,13
835485,Brahim Díaz,MID,2324,LaLiga,Spain,8,6,29,1,0,7.2,16.062,15
823984,Lautaro Martínez,FWD,2324,SerieA,Italy,24,3,22,8,0,7.5,21.0,9
1153270,Fermín López,MID,2324,LaLiga,Spain,8,0,41,1,0,6.93,16.062,13
914902,Anthony Gordon,MID,2324,PL,England,11,10,55,4,0,7.41,17.375,3
1063767,Ismael Saibari,MID,2324,Ered,Netherlands,5,4,31,2,0,7.31,10.0,6
