sofa_id,name,pos,dom_season,ucl_season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
846425,Manuel Ugarte,MID,2122,2223,Portugal,Portugal,0,2,45,0,0,6.86,12.5,11
829932,Cristian Romero,DEF,2122,2223,PL,England,1,0,62,5,0,7.15,23.0,8
1121923,Antonio Nusa,MID,2122,2223,Elite,Norway,3,0,6,0,0,6.81,5.75,5
989768,Nuno Mendes,DEF,2122,2223,L1,France,0,1,48,4,0,6.73,12.583,9
831799,Nahuel Molina,DEF,2122,2223,SerieA,Italy,7,2,41,3,0,6.9,22.357,6
136924,Willi Orbán,DEF,2122,2223,Bund,Germany,2,1,32,8,0,7.16,17.125,11
94286,Thorgan Hazard,MID,2122,2223,Bund,Germany,4,1,23,2,0,6.8,17.125,6
970361,Jeremie Frimpong,DEF,2122,2223,Bund,Germany,1,6,32,4,0,6.77,17.125,12
827212,Jules Koundé,DEF,2122,2223,LaLiga,Spain,2,1,40,13,0,7.14,16.571,5
84539,Koke,MID,2122,2223,LaLiga,Spain,1,2,55,8,0,6.83,16.571,0
845386,Federico Chiesa,MID,2122,2223,SerieA,Italy,2,2,26,2,0,6.97,22.357,0
792073,Ferland Mendy,DEF,2122,2223,LaLiga,Spain,2,1,24,5,0,7,16.571,5
1002837,Piero Hincapié,DEF,2122,2223,Bund,Germany,1,2,33,2,0,6.8,17.125,10
805078,Mathías Olivera,DEF,2122,2223,LaLiga,Spain,1,3,79,13,0,6.93,16.571,15
547838,Dani Ceballos,MID,2122,2223,LaLiga,Spain,0,0,7,1,0,6.77,16.571,1
927407,Josip Stanišić,DEF,2122,2223,Bund,Germany,1,0,21,1,0,6.79,17.125,11
911719,Lassina Traoré,FWD,2122,2223,Ukraine,Ukraine,6,0,0,0,0,0,5.7,4
869856,Dominik Szoboszlai,MID,2122,2223,Bund,Germany,6,8,17,2,0,7.08,17.125,13
902029,Vitinha,MID,2122,2223,Portugal,Portugal,2,3,49,6,0,7.47,12.5,2
118085,Hans Vanaken,MID,2122,2223,Belgium,Belgium,11,9,47,13,0,7.31,14.2,6
155995,Marquinhos,DEF,2122,2223,L1,France,5,0,37,13,0,7.17,12.583,1
947929,Jesper Lindstrøm,MID,2122,2223,Bund,Germany,5,4,28,1,0,6.88,17.125,6
188307,Tomáš Chorý,FWD,2122,2223,Czech,Czechia,6,0,0,0,0,0,6.75,9
1010231,Jamal Musiala,MID,2122,2223,Bund,Germany,5,5,40,2,0,6.91,17.125,7
