Id,Name,Position,Price,TotalPts,Team
250088150,D. Frattesi,MID,6.0,0,50138
250176455,M. Guiu,FWD,6.0,0,2603790
250024349,M. Sabitzer,MID,6.0,3,52758
250171278,D. Raya,GK,6.0,7,52280
250080569,E. Buendía,MID,6.0,8,52683
250177879,S. Giménez,FWD,6.0,1,50064
250138957,Carlos Forbs,MID,6.0,3,50043
250212316,Cucho Hernández,FWD,6.0,0,52265
250121000,Ahmed Kutucu,MID,6.0,0,50067
50327423,F. de Jong,MID,6.0,0,50080
250024456,Á. Morata,FWD,6.0,0,79946
250118286,L. Torreira,MID,6.0,7,50067
250145630,P. Christiansen,FWD,6.0,1,52319
250042521,André Silva,FWD,6.0,3,50064
250101557,M. Hjulmand,MID,6.0,1,50124
250127400,F. Ioannidis,FWD,6.0,1,50149
250131901,Gabriel,DEF,6.0,8,52280
250140929,M. Soulé,FWD,6.0,0,50137
250172787,J. Schouten,MID,5.5,0,50062
250106764,Félix Correia,MID,5.5,0,75797
250154129,B. El Khannouss,MID,5.5,3,50107
250099671,G. Til,MID,5.5,0,50062
250187458,R. van Bommel,MID,5.5,0,50062
250196543,S. Castro,FWD,5.5,0,50137
250012069,J. Oblak,GK,5.5,2,50124
250130406,J. Bakayoko,MID,5.5,0,2603790
250123952,Nico González,MID,5.5,0,52919
250195782,R. Ngumoha,MID,5.5,2,7889
250042329,J. Grealish,MID,5.5,0,52919
250166916,M. Fernandez-Pardo,MID,5.5,0,75797
250129965,M. Casadó,MID,5.5,0,50080
250224147,Gabriel Carvalho,MID,5.5,0,52707
250147342,A. Sima,MID,5.5,0,52277
250077931,M. Sadílek,MID,5.5,0,52498
250174850,S. Steijn,MID,5.5,6,52749
250075767,Talisca,MID,5.5,0,52692
250176378,N. Ferri,FWD,5.5,2,52749
250205755,William Gomes,MID,5.5,3,50064
250197651,Arnau Ortiz,MID,5.5,0,50124
250211008,Alisson Santos,MID,5.5,1,50136
250143322,R. Ljubičić,MID,5.5,2,63405
250121584,Kang-in Lee,MID,5.5,1,50124
250077450,R. Nelson,MID,5.5,0,52749
97923,M. Neuer,GK,5.5,0,50037
250183765,S. Van Persie,FWD,5.5,1,52749
250076240,M. Mount,MID,5.5,0,52682
250092517,J. Ryerson,DEF,5.5,2,52758
250173062,A. Bonny,FWD,5.5,1,50138
250134357,M. Lemina,MID,5.5,0,50067
250221031,C. Martínez,MID,5.5,3,52797
250182174,K. Karetsas,MID,5.5,1,52758
250121405,Amad Diallo,MID,5.5,0,52682
250046542,İrfan Can Kahveci,MID,5.5,0,52692
250158929,Barış Alper Yılmaz,MID,5.5,2,50067
250187671,Newertton,MID,5.5,0,52707
250058220,Rúben Dias,DEF,5.5,9,52919
250158167,D. Šturm,FWD,5.5,0,52498
250196599,C. Nwachukwu,MID,5.5,0,2609356
250163409,A. Stanković,MID,5.5,0,50138
250023551,M. Kovačić,MID,5.5,1,52919
250041771,L. Goretzka,MID,5.5,0,52683
250127284,J. Gvardiol,DEF,5.5,1,52919
250192955,M. Diakhon,FWD,5.5,1,50043
250194571,Joao Gomes,MID,5.5,4,52683
250051338,Z. Tripić,MID,5.5,7,52319
250076357,T. Alexander-Arnold,DEF,5.5,2,50051
250137272,B. Sainz,MID,5.5,1,50064
250140940,M. Baturina,MID,5.5,0,79946
250212190,Luca Meirelles,FWD,5.5,0,52707
250112690,D. Dumfries,DEF,5.5,2,50051
250165617,R. Bardghji,MID,5.5,0,50080
250127439,W. Saliba,DEF,5.5,0,52280
250126369,Tiago Tomás,FWD,5.5,0,50107
250164215,V. Muñoz,MID,5.5,1,7889
250176453,P. Cubarsí,DEF,5.5,4,50080
250128270,E. Camavinga,MID,5.5,0,50051
250112217,A. Stiller,MID,5.5,6,50107
250097248,N. Kanté,MID,5.5,0,52692
250189110,E. Mbappé,MID,5.5,1,75797
250198257,H. Igamane,FWD,5.5,0,75797
250012551,T. Hazard,MID,5.5,0,52277
250101728,J. Timber,DEF,5.5,0,52280
250070130,L. Pellegrini,MID,5.5,0,50137
250128943,H. Haraldsson,MID,5.5,2,75797
250055294,R. Marin,MID,5.5,14,50129
250177837,Rodrigo Mora,MID,5.5,0,50137
250200231,M. Araújo,MID,5.5,2,50149
250187759,Eguinaldo,FWD,5.5,0,52707
250090101,M. Safonov,GK,5.5,3,52747
250164226,Gonzalo,FWD,5.5,0,50051
250028211,A. Rüdiger,DEF,5.5,0,50051
250042422,A. Grimaldo,DEF,5.5,1,50124
250169763,I. Babadi,MID,5.5,0,50062
250007655,R. Barkley,MID,5.5,2,52683
250222131,Giovane,FWD,5.5,0,50136
250081185,J. Mickels,MID,5.5,0,2609356
250079545,D. Upamecano,DEF,5.5,0,50037
250106935,C. Jones,MID,5.5,3,50138
250050381,M. Politano,MID,5.5,1,50136
250113350,Fábio Silva,FWD,5.5,4,52758
250201122,W. Mike,MID,5.5,0,50043
250106963,Álex Baena,MID,5.5,2,50124
250079003,K. Kairinen,MID,5.5,0,50129
250197195,Jesus Rodríguez,FWD,5.5,0,79946
250192048,C. Führich,MID,5.5,4,50107
250096309,J. Koundé,DEF,5.5,3,50080
250128222,L. Traoré,FWD,5.5,0,52707
250138982,R. Vermant,FWD,5.5,0,50043
250055982,S. Lobotka,MID,5.5,3,50136
250165376,F. Potts,MID,5.5,4,50043
250169350,F. Ivanović,FWD,5.0,0,52277
250092715,P. Fornals,MID,5.0,5,52265
250065292,P. Berg,MID,5.0,0,59333
250116789,S. Kalajdzic,FWD,5.0,1,63405
250101313,R. Riquelme,MID,5.0,5,52265
250201740,M. Catovic,MID,5.0,0,50107
250153945,Á. Carreras,DEF,5.0,1,50051
250200705,M. Albert,MID,5.0,0,52758
250212957,Arda Tagay,FWD,5.0,0,50067
250091013,I. Konaté,DEF,5.0,2,50051
250207790,Ada Yüzgeç,FWD,5.0,0,50067
250135064,B. Bouanani,FWD,5.0,0,50107
250132062,M. Koné,MID,5.0,0,50137
250184377,A. Vasovic,FWD,5.0,0,50043
250115134,H. Vetlesen,MID,5.0,7,50043
250117587,A. Salah-Eddine,DEF,5.0,0,50137
250223132,A. Ouanda,FWD,5.0,0,52498
250168144,D. Pejcinovic,FWD,5.0,1,50107
250177501,Rafael Nel,FWD,5.0,0,50149
250198116,N. Irankunda,MID,5.0,0,50149
250187059,N. El Aynaoui,MID,5.0,0,2603790
250139036,P. Barrios,MID,5.0,3,50124
250101874,C. Tengstedt,FWD,5.0,0,52749
250212206,Isaque,MID,5.0,0,52707
250164583,J. Addai,MID,5.0,0,79946
250129972,C. Mosquera,DEF,5.0,0,52280
250098470,L. Majer,MID,5.0,5,50129
250101128,M. Caqueret,MID,5.0,0,79946
250220576,G. Mendoza,FWD,5.0,0,52707
250116003,L. Da Cunha,MID,5.0,0,79946
250216983,P. Obah,MID,5.0,0,52707
250186227,A. Diao,MID,5.0,0,79946
