Name,Position,Price,TotalPts,MDPts,Selected%,Goals,Assists,BallsRecovered,CleanSheets,RedCards,YellowCards,MinsPlayed,TransfersIn,TransfersOut,NextOpponent
G. Zechiel,MID,4.5,3,0,0,0,0,4,0,0,0,90,778,382,COM (H)
Gabriel Valero,MID,4.5,0,0,0,0,0,0,0,0,0,0,27,14,ROM (A)
H. Bjørdal,MID,4.5,5,0,0,0,1,2,0,0,0,90,86,59,BAY (H)
H. Elliott,MID,4.5,0,0,0,0,0,0,0,0,0,0,195,833,LASK (A)
H. Evjen,MID,4.5,0,0,1,0,0,0,0,0,0,0,5156,9190,BAY (A)
I. Doumbia,MID,4.5,2,0,0,0,0,2,0,0,0,74,656,513,LEN (A)
I. Hwang,MID,4.5,1,0,0,0,0,1,0,0,0,22,204,163,BET (A)
I. Jaime,MID,4.5,0,0,0,0,0,0,0,0,0,0,19,55,BET (A)
I. Mbaye,MID,4.5,0,0,1,0,0,0,0,0,0,0,6441,5745,FEN (H)
Iker Losada,MID,4.5,0,0,0,0,0,0,0,0,0,0,39,31,POR (H)
J. Cardoso,MID,4.5,0,0,4,0,0,0,0,0,0,0,14439,9389,MUN (H)
J. Fletcher,MID,4.5,0,0,0,0,0,0,0,0,0,0,118,103,SAB (H)
J. Hansen,MID,4.5,0,0,0,0,0,0,0,0,0,0,438,368,BAY (H)
J. Kitolano,MID,4.5,0,0,0,0,0,0,0,0,0,0,32,27,BAY (A)
J. McConnell,MID,4.5,0,0,0,0,0,0,0,0,0,0,138,82,LASK (A)
J. Moder,MID,4.5,0,0,0,0,0,0,0,0,0,0,65,143,COM (H)
J. Monga,MID,4.5,0,0,0,0,0,0,0,0,0,0,11,43,PSG (H)
J. Mukhtarov,MID,4.5,0,0,0,0,0,0,0,0,0,0,38,44,MUN (A)
J. Mvuka,MID,4.5,0,0,0,0,0,0,0,0,0,0,96,102,BAY (A)
J. Rabben Nygård,MID,4.5,0,0,0,0,0,0,0,0,0,0,6,5,BAY (A)
Jorge Cestero,MID,4.5,0,0,0,0,0,0,0,0,0,0,62,45,ROM (A)
João Simões,MID,4.5,0,0,3,0,0,0,0,0,0,0,10971,7547,LEN (A)
João Teixeira,MID,4.5,0,0,0,0,0,0,0,0,0,0,20,9,BET (A)
K. Arriaga,MID,4.5,1,0,0,0,0,1,0,0,0,1,218,156,SHK (A)
K. Daněk,MID,4.5,0,0,0,0,0,0,0,0,0,0,100,86,LIV (H)
K. Khan,MID,4.5,0,0,0,0,0,0,0,0,0,0,11,4,COM (H)
K. Koindredi,MID,4.5,0,0,0,0,0,0,0,0,0,0,38,167,LEN (A)
K. Phillips,MID,4.5,0,0,0,0,0,0,0,0,0,0,1,8,PSG (H)
K. Sano,MID,4.5,0,0,0,0,0,0,0,0,0,0,366,212,SHK (H)
K. Solhaug,MID,4.5,0,0,0,0,0,0,0,0,0,0,81,45,BAY (A)
L. Audoor,MID,4.5,0,0,0,0,0,0,0,0,0,0,762,877,INT (A)
L. Milla,MID,4.5,0,0,0,0,0,0,0,0,0,0,1167,805,RBL (H)
L. Monsen Yeboah,MID,4.5,0,0,0,0,0,0,0,0,0,0,5,2,BAY (A)
L. Penna,MID,4.5,0,0,0,0,0,0,0,0,0,0,42,55,SBR (A)
L. Reis,MID,4.5,0,0,0,0,0,0,0,0,0,0,6,23,INT (A)
L. Tomasson,MID,4.5,0,0,0,0,0,0,0,0,0,0,6,5,COM (H)
Lucas Ferreira,MID,4.5,0,0,0,0,0,0,0,0,0,0,73,75,PSV (A)
Luis Henrique,MID,4.5,0,0,1,0,0,0,0,0,0,0,3599,2461,BRU (H)
M. Balamotis,MID,4.5,0,0,0,0,0,0,0,0,0,0,1011,748,SHK (A)
M. Bernal,MID,4.5,2,0,2,0,0,3,0,0,0,28,7896,6726,GAL (A)
M. Bogarde,MID,4.5,3,0,0,0,0,7,0,0,1,90,627,210,LIV (H)
M. Broholm,MID,4.5,0,0,0,0,0,0,0,0,0,0,4,11,ARS (A)
M. Cuisance,MID,4.5,0,0,0,0,0,0,0,0,0,0,173,157,SLA (A)
M. Dorley,MID,4.5,0,0,0,0,0,0,0,0,0,0,379,1108,LEN (H)
M. Gaćinović,MID,4.5,1,0,0,0,0,0,0,0,0,1,222,232,SHK (A)
M. Kaba,MID,4.5,0,0,0,0,0,0,0,0,0,0,272,185,BOD (A)
M. Kjærgaard,MID,4.5,1,0,0,0,0,2,0,0,0,15,93,109,ARS (A)
M. Kone,MID,4.5,0,0,0,0,0,0,0,0,0,0,64,268,COM (A)
M. Riisnæs,MID,4.5,0,0,0,0,0,0,0,0,0,0,75,154,BAY (A)
M. Shved,MID,4.5,0,0,0,0,0,0,0,0,0,0,19,34,PSV (A)
M. Skóraś,MID,4.5,0,0,0,0,0,0,0,0,0,0,265,192,SLA (A)
M. Ugarte,MID,4.5,0,0,0,0,0,0,0,0,0,0,113,299,SAB (H)
Marc Roca,MID,4.5,0,0,0,0,0,1,0,0,1,23,307,179,POR (H)
Marlon Gomes,MID,4.5,0,0,0,0,0,0,0,0,0,0,57,53,PSV (A)
Milán Vitális,MID,4.5,4,0,0,0,0,3,1,0,0,90,970,246,SHK (A)
N. Bentaleb,MID,4.5,2,0,0,0,0,4,0,0,0,45,569,304,ARS (A)
N. De Koning,MID,4.5,0,0,0,0,0,0,0,0,0,0,5,4,COM (H)
N. Deossa,MID,4.5,1,0,0,0,0,2,0,0,0,9,127,100,POR (H)
N. El Harmouz,MID,4.5,0,0,0,0,0,0,0,0,0,0,1,4,COM (H)
N. El Jmili,MID,4.5,0,0,0,0,0,0,0,0,0,0,902,629,NAP (H)
N. Fernandez,MID,4.5,0,0,0,0,0,0,0,0,0,0,611,419,SHK (H)
N. Marcelli,MID,4.5,1,0,0,0,0,0,0,0,0,31,407,530,STU (H)
N. Mukau,MID,4.5,2,0,0,0,0,3,0,0,0,45,143,102,ARS (A)
N. Nartey,MID,4.5,0,0,0,0,0,0,0,0,0,0,39,113,SBR (A)
N. Pisilli,MID,4.5,0,0,0,0,0,0,0,0,0,0,122,151,FEN (A)
N. Saliba,MID,4.5,1,0,0,0,0,2,0,0,0,59,174,117,NAP (H)
N. Seiwald,MID,4.5,0,0,0,0,0,0,0,0,0,0,180,146,COM (A)
Necati Yançel,MID,4.5,0,0,0,0,0,0,0,0,0,0,9,10,BAR (H)
O. Ocheretko,MID,4.5,0,0,0,0,0,0,0,0,0,0,47,47,PSV (A)
O. Sahraoui,MID,4.5,0,0,0,0,0,0,0,0,0,0,259,180,ARS (A)
O. Visted,MID,4.5,0,0,0,0,0,0,0,0,0,0,162,152,BAY (H)
O. Yıldız,MID,4.5,0,0,0,0,0,0,0,0,0,0,184,133,BAR (H)
P. Mantalos,MID,4.5,0,0,0,0,0,0,0,0,0,0,52,51,SHK (A)
P. Rosario,MID,4.5,1,0,0,0,0,2,0,0,1,90,438,308,BET (A)
P. Wanner,MID,4.5,0,0,0,0,0,0,0,0,0,0,737,684,SHK (H)
R. Alte,MID,4.5,0,0,0,0,0,0,0,0,0,0,16,64,BAY (H)
R. Baku,MID,4.5,0,0,0,0,0,0,0,0,0,0,1514,634,COM (A)
R. Ibrahim,MID,4.5,2,0,0,0,0,2,0,0,0,60,66,47,STU (H)
R. Rustamli,MID,4.5,0,0,0,0,0,0,0,0,0,0,43,56,MUN (A)
R. Sam-Na Nhaga,MID,4.5,1,0,0,0,0,0,0,0,0,6,200,118,BAR (H)
R. Zalazar,MID,4.5,11,0,4,1,0,1,0,0,0,66,23763,8811,LEN (A)
Rodrigo Fernandes,MID,4.5,0,0,0,0,0,0,0,0,0,0,72,56,MUN (A)
Ryan Roberto,MID,4.5,0,0,0,0,0,0,0,0,0,0,822,592,PSV (A)
S. 't Zand,MID,4.5,0,0,0,0,0,0,0,0,0,0,4,15,COM (H)
S. Alexandropoulos,MID,4.5,0,0,0,0,0,0,0,0,0,0,18,14,LEN (A)
S. Bajcetic,MID,4.5,0,0,0,0,0,0,0,0,0,0,6,27,LASK (A)
S. Eustáquio,MID,4.5,0,0,0,0,0,0,0,0,0,0,46,165,BET (A)
S. Faye,MID,4.5,0,0,0,0,0,0,0,0,0,0,24,160,LEN (A)
S. Ibrahimov,MID,4.5,0,0,0,0,0,0,0,0,0,0,28,18,MUN (A)
S. Iling-Junior,MID,4.5,0,0,0,0,0,0,0,0,0,0,15,44,FEN (H)
S. Mijnans,MID,4.5,0,0,0,0,0,0,0,0,0,0,154,221,SHK (H)
S. Ouaissa,MID,4.5,0,0,0,0,0,0,0,0,0,0,18,59,SHK (H)
S. Ricci,MID,4.5,0,0,0,0,0,0,0,0,0,0,83,49,RBL (H)
Samuel Justo,MID,4.5,0,0,0,0,0,0,0,0,0,0,36,29,LEN (A)
Sergio Martínez,MID,4.5,0,0,0,0,0,0,0,0,0,0,29,29,ROM (A)
T. Buchanan,MID,4.5,2,0,1,0,0,1,0,0,0,75,3183,3770,NAP (H)
T. Diakite,MID,4.5,0,0,0,0,0,0,0,0,0,0,42,32,LEN (H)
T. Fletcher,MID,4.5,0,0,0,0,0,0,0,0,0,0,58,60,SAB (H)
T. Koren,MID,4.5,0,0,0,0,0,0,0,0,0,0,248,349,INT (A)
T. Kraaijeveld,MID,4.5,0,0,0,0,0,0,0,0,0,0,65,64,COM (H)
T. Moi,MID,4.5,3,0,0,0,0,3,0,0,0,71,851,614,BAY (H)
T. Nyoni,MID,4.5,0,0,0,0,0,0,0,0,0,0,398,337,LASK (A)
T. Pitarch,MID,4.5,0,0,0,0,0,0,0,0,0,0,208,471,ROM (A)
T. Van Den Elshout,MID,4.5,1,0,0,0,0,0,0,0,0,8,87,54,COM (H)
Tiago Silva,MID,4.5,0,0,0,0,0,0,0,0,0,0,120,62,BET (A)
U. Saltnes,MID,4.5,0,0,0,0,0,0,0,0,0,0,361,243,BAY (A)
V. Froholdt,MID,4.5,0,0,0,0,0,0,0,0,0,0,880,2250,BET (A)
V. Gebel,MID,4.5,0,0,0,0,0,0,0,0,0,0,56,45,COM (A)
V. Tsukanov,MID,4.5,0,0,0,0,0,0,0,0,0,0,28,36,PSV (A)
W. Endo,MID,4.5,0,0,0,0,0,0,0,0,0,0,222,581,LASK (A)
W. Nowak,MID,4.5,0,0,0,0,0,0,0,0,0,0,350,255,LEN (H)
Y. Lachaab,MID,4.5,0,0,0,0,0,0,0,0,0,0,493,364,MUN (A)
Y. Nazaryna,MID,4.5,0,0,0,0,0,0,0,0,0,0,35,32,PSV (A)
Y. Titraoui,MID,4.5,0,0,0,0,0,0,0,0,0,0,191,370,SLA (A)
Z. Sneijer,MID,4.5,0,0,0,0,0,0,0,0,0,0,9,9,COM (H)
Á. Fidalgo,MID,4.5,1,0,0,0,0,0,0,0,0,30,201,126,POR (H)
İsmail Yüksek,MID,4.5,0,0,0,0,0,0,0,0,0,0,157,101,ROM (H)
L. Jovanović,MID,4,0,0,5,0,0,0,0,0,0,0,15673,32765,SBR (A)
